Date,Indep_V1,Indep_V2,Indep_V26,Indep_V35,Indep_V39,Indep_V40,Indep_V57,Indep_V94,Indep_V96,Indep_V99,Indep_V101,Indep_V108,Indep_V119
2023-09-01,4.36525,2936.05,87.0,0.0,310.5,26300.0,0.1,2025.4545454545455,1.067175,121.98268500000002,1356.0,102.86015090366732,5918.0
2023-10-01,4.787,2987.9375,85.88,0.0,212.0,28394.0,0.32,2250.8333333333335,1.056457142857143,123.79136666666665,1376.0,102.54430601859976,6132.0
2023-11-01,4.497,3002.5,87.675,0.0,163.0,30191.5,0.0,2251.964285714286,1.08193,121.53687499999998,1512.0,100.96508159326198,5851.0
2023-12-01,4.012,3010.7,87.2,0.0,216.5,29830.75,0.0,2373.185483870968,1.0869,120.47069999999997,1566.0,103.28127741709069,6042.0
2024-01-01,4.037,3316.8636363636365,86.48000000000002,175.2,124.0,29148.4,0.24000000000000005,2426.3709677419356,1.0898904761904762,120.57688095238093,1376.0,99.87721452376776,6079.0
2024-02-01,4.217227272727274,3353.13333333333,80.35000000000001,0.0,156.25,29590.75,0.4,2411.551724137931,1.0792999999999997,121.41554000000001,1546.0,100.92966146290125,5684.0
2024-03-01,4.205952380952381,3322.5714285714284,76.94999999999999,25.0,121.25,27302.5,0.75,2252.0967741935483,1.0870190476190476,121.04129047619043,1299.0,100.1929486055078,6081.0
2024-04-01,4.536909090909091,3323.75,77.28,110.0,122.0,25085.4,0.78,2046.25,1.0723909090909092,122.51417727272725,1377.0,99.24574636028765,5893.0
2024-05-01,4.486083333333333,3748.65,80.4,240.0,138.0,22855.75,0.2,2068.125,1.0810136363636362,122.24438636363635,1315.0,99.35099105420102,6128.0
2024-06-01,4.308772727272728,3904.7368421052633,82.85,215.0,133.5,21389.0,0.775,2061.25,1.0763263157894738,124.03086842105265,1329.0,99.45623574811437,5970.0
2024-07-01,4.249913043478261,3903.9565217391305,85.62,0.0,35.8,23047.6,1.0,2043.8947368421052,1.084659090909091,123.72079545454548,1262.0,98.61427819680758,6204.0
2024-08-01,3.869454545454545,3907.5454545454545,89.0,0.0,3.75,23103.5,2.55,1874.55,1.1020181818181818,122.88022272727275,1379.0,98.29854411506753,6210.0
2024-09-01,3.7392608695652174,3985.6315789473683,89.27499999999999,0.0,28.0,25114.5,1.5,1772.0119047619048,1.1102105263157893,122.16113684210526,1355.0,98.19329942115417,6016.0
2024-10-01,4.093500000000001,4598.333333333333,87.58,0.0,14.0,26978.8,2.92,1835.5,1.08945,123.8309681818182,1344.0,98.40378880898088,6246.0
2024-11-01,4.359789473684211,5521.380952380952,83.8,0.0,21.5,27157.0,3.8499999999999996,1781.2,1.0621315789473684,126.53285263157896,1305.0,99.14050166637432,6046.0
2024-12-01,4.39342857142857,5746.0,81.60000000000001,120.0,62.0,28208.0,3.9,1676.2,1.047233333333333,127.81400000000001,1526.0,96.5093843185406,6254.0
2025-01-01,4.627809523809524,4887.638888888889,78.1,1548.75,282.0,30444.25,3.8499999999999996,1573.2282608695652,1.0355904761904762,129.04125714285715,1358.0,99.03525697246096,6240.0
2025-02-01,4.448578947368421,3450.8333333333335,74.925,1207.0,277.75,32399.25,4.225,1536.625,1.0413,128.0665052631579,1490.0,98.29854411506753,5633.0
2025-03-01,4.27647619047619,3259.8571428571427,72.05,392.75,299.0,33547.75,5.4,1432.1875,1.0813142857142857,126.48643333333335,1355.0,98.29854411506753,6242.0
2025-04-01,4.268818181818181,2915.502380952381,70.25999999999999,130.0,391.0,34065.4,5.860000000000001,1422.75,1.1231772727272726,124.45567727272724,1398.0,99.14050166637432,5933.0
2025-05-01,4.431478260869565,3050.301052631579,71.075,0.0,191.5,31423.5,5.175000000000001,1372.796875,1.1273666666666666,122.68690952380952,1263.0,98.29854411506753,6130.0
2025-06-01,4.375199999999999,3210.442,70.475,0.0,259.75,29191.25,3.65,1253.5833333333333,1.153365,120.97471499999999,1321.0,98.50903350289421,6173.0
2025-07-01,4.380260869565217,3178.407391304347,67.88,279.0,201.2,28687.4,3.3,1275.6048387096773,1.1670818181818186,120.52656363636366,1372.988,98.70432575330716,6373.0
2025-08-01,4.226810099568385,3167.9530700298387,67.85796244420136,230.9161059193142,209.79630204470925,28393.131208244486,3.5659632928600873,1294.8352058822425,1.168125986069806,123.48197174513187,1365.6222923161517,98.78153831793668,6359.776096685599
