,xgb_shap_mean_abs
Indep_V94,9.560
Indep_V1,3.322
Indep_V2,2.190
Indep_V96,0.835
Indep_V26,0.789
Indep_V119,0.623
Indep_V108,0.584
Indep_V93,0.565
Indep_V35,0.531
Indep_V41,0.464
Indep_V85,0.458
Indep_V47,0.427
Indep_V120,0.402
Indep_V74,0.374
Indep_V101,0.357
Indep_V102,0.287
Indep_V40,0.279
Indep_V57,0.231
Indep_V100,0.221
Indep_V99,0.190
Indep_V39,0.159
Indep_V83,0.157
Indep_V71,0.134
