,mi_score
Indep_V94,0.833
Indep_V1,0.612
Indep_V57,0.563
Indep_V2,0.444
Indep_V47,0.411
Indep_V35,0.373
Indep_V119,0.365
Indep_V99,0.357
Indep_V96,0.357
Indep_V39,0.322
Indep_V41,0.272
Indep_V108,0.268
Indep_V74,0.251
Indep_V100,0.230
Indep_V102,0.229
Indep_V101,0.217
Indep_V26,0.216
Indep_V85,0.210
Indep_V120,0.205
Indep_V93,0.198
Indep_V40,0.168
Indep_V83,0.162
Indep_V71,0.048
